id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
95794049,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042780/original.jpeg,https://www.inaturalist.org/photos/159042780,2021-09-18T09:11:00-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042780
95794053,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042980/original.jpeg,https://www.inaturalist.org/photos/159042980,2021-09-18T09:35:21-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042980
95794053,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042987/original.jpeg,https://www.inaturalist.org/photos/159042987,2021-09-18T09:35:26-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042987
95794053,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159042960/original.jpeg,https://www.inaturalist.org/photos/159042960,2021-09-18T09:35:17-07:00,Juan Carlos López Domínguez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan Carlos López Domínguez,159042960
95794054,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071513/original.jpg,https://www.inaturalist.org/photos/159071513,2021-09-22T19:30:00Z,Katrina Mccollough,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Katrina Mccollough,159071513
95794054,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071544/original.jpg,https://www.inaturalist.org/photos/159071544,2021-09-22T19:30:00Z,Katrina Mccollough,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Katrina Mccollough,159071544
223517245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396053290/original.jpeg,https://www.inaturalist.org/photos/396053290,2024-06-18T08:21:37-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396053290
223517245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396053255/original.jpeg,https://www.inaturalist.org/photos/396053255,2024-06-18T08:23:19-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396053255
223517245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396053265/original.jpeg,https://www.inaturalist.org/photos/396053265,2024-06-18T08:23:21-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396053265
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054915/original.jpeg,https://www.inaturalist.org/photos/396054915,2024-06-18T09:34:39-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054915
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054750/original.jpeg,https://www.inaturalist.org/photos/396054750,2024-06-18T09:34:18-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054750
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054683/original.jpeg,https://www.inaturalist.org/photos/396054683,2024-06-18T09:32:20-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054683
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054560/original.jpeg,https://www.inaturalist.org/photos/396054560,2024-06-18T09:31:50-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054560
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054556/original.jpeg,https://www.inaturalist.org/photos/396054556,2024-06-18T09:31:06-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054556
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054593/original.jpeg,https://www.inaturalist.org/photos/396054593,2024-06-18T09:30:43-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054593
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054836/original.jpeg,https://www.inaturalist.org/photos/396054836,2024-06-18T09:34:32-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054836
223517246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396054953/original.jpeg,https://www.inaturalist.org/photos/396054953,2024-06-18T09:34:40-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396054953
223517247,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055250/original.jpeg,https://www.inaturalist.org/photos/396055250,2024-06-18T08:59:58-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396055250
