id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
31932146,Vulpes vulpes,species,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,https://inaturalist-open-data.s3.amazonaws.com/photos/50029334/original.jpeg
31932146,Vulpes vulpes,species,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,https://inaturalist-open-data.s3.amazonaws.com/photos/50076847/original.jpeg
31932146,Vulpes vulpes,species,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,https://inaturalist-open-data.s3.amazonaws.com/photos/50076859/original.jpeg
127723689,Otospermophilus douglasii,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,https://inaturalist-open-data.s3.amazonaws.com/photos/216864608/original.jpeg
191584940,Procavia capensis capensis,subspecies,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,https://inaturalist-open-data.s3.amazonaws.com/photos/336132157/original.jpg
31932458,Parascalops breweri,species,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Parascalops,https://inaturalist-open-data.s3.amazonaws.com/photos/50029801/original.jpg
63861672,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102563427/original.jpeg
63861672,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102563376/original.jpeg
63861672,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102563467/original.jpeg
63861672,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102563504/original.jpeg
31932511,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/50030030/original.jpg
63861713,Cratogeomys fumosus,species,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Cratogeomys,https://inaturalist-open-data.s3.amazonaws.com/photos/102568496/original.jpg
159655230,Didelphis virginiana,species,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,https://inaturalist-open-data.s3.amazonaws.com/photos/275853822/original.jpg
159655274,Pseudocheirus peregrinus,species,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,https://inaturalist-open-data.s3.amazonaws.com/photos/275853936/original.jpeg
191585145,Sciurus vulgaris,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336134150/original.jpeg
159655375,Sciurus aureogaster,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/275854203/original.jpeg
159655375,Sciurus aureogaster,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/275854225/original.jpeg
